product_name,product_category,price,stock_quantity,supplier_name,supplier_email,supplier_phone,supplier_country
Джинси 24,Спорт та відпочинок,2682.34,225,ProTrade Co 2,supplier23@trade.com,+380929971814,Німеччина
Кавоварка 25,Одяг,1666.54,116,FastDelivery 2,supplier24@trade.com,+380502216650,Німеччина
Навушники 26,Косметика,129.2,700,MegaStock 2,supplier25@trade.com,+380760427643,Польща
Книга «27»,Іграшки,431.05,864,AlphaWholesale 2,supplier26@trade.com,+380552199659,США
Крісло 28,Продукти харчування,3539.97,190,BetaDistrib 2,supplier27@trade.com,+380945500034,Україна
Велосипед 29,Електроніка,4455.96,670,GammaTrade 2,supplier28@trade.com,+380823575860,Україна
Помада 30,Авто,3395.39,451,DeltaGoods 2,supplier29@trade.com,+380616445110,Китай
Шампунь 31,Іграшки,3967.17,798,EpsilonMarket 2,supplier30@trade.com,+380633121802,Туреччина
Чай 32,Косметика,3358.54,251,ZetaSupply 2,supplier31@trade.com,+380902140937,Туреччина
Кросівки 33,Одяг,3960.9,720,EtaCommerce 2,supplier32@trade.com,+380690148601,Франція
Планшет 34,Одяг,59.55,991,ThetaLogistics 2,supplier33@trade.com,+380522112846,Україна
Монітор 35,Іграшки,128.82,145,IotaRetail 2,supplier34@trade.com,+380712493577,Україна
Клавіатура 36,Іграшки,1344.59,572,KappaStore 2,supplier35@trade.com,+380837915176,Німеччина
Мишка 37,Електроніка,2776.44,236,LambdaHub 2,supplier36@trade.com,+380986783818,США
Рюкзак 38,Меблі,3387.2,667,MuDistrib 2,supplier37@trade.com,+380979992880,Китай
Куртка 39,Книги,657.98,692,NuSupplies 2,supplier38@trade.com,+380550874078,Україна
Холодильник 40,Одяг,882.73,667,XiNetwork 2,supplier39@trade.com,+380968192167,Франція
Смартфон 41,Продукти харчування,3753.47,366,TechSupply UA 3,supplier40@trade.com,+380771593929,Китай
Ноутбук 42,Спорт та відпочинок,2374.07,898,EcoGoods Ltd 3,supplier41@trade.com,+380584495002,США
Футболка 43,Іграшки,1118.88,433,GlobalMart 3,supplier42@trade.com,+380593874830,Україна
Джинси 44,Книги,312.73,85,ProTrade Co 3,supplier43@trade.com,+380704729251,Німеччина
Кавоварка 45,Косметика,3553.35,743,FastDelivery 3,supplier44@trade.com,+380529812884,Німеччина
Навушники 46,Одяг,785.7,379,MegaStock 3,supplier45@trade.com,+380842976506,Польща
Книга «47»,Побутова хімія,3959.81,593,AlphaWholesale 3,supplier46@trade.com,+380904252705,США
Крісло 48,Авто,3609.17,706,BetaDistrib 3,supplier47@trade.com,+380856102592,Франція
Велосипед 49,Спорт та відпочинок,3102.5,48,GammaTrade 3,supplier48@trade.com,+380708531027,Франція
Помада 50,Побутова хімія,353.32,484,DeltaGoods 3,supplier49@trade.com,+380760529437,Польща
Шампунь 51,Меблі,4340.86,213,TechSupply UA,supplier0@trade.com,+380607368827,Німеччина
Чай 52,Книги,2949.03,71,EcoGoods Ltd,supplier1@trade.com,+380835207186,Китай
Кросівки 53,Продукти харчування,4070.96,543,GlobalMart,supplier2@trade.com,+380654527617,Туреччина
Планшет 54,Продукти харчування,4457.49,508,ProTrade Co,supplier3@trade.com,+380526910219,Україна
Монітор 55,Книги,2619.8,370,FastDelivery,supplier4@trade.com,+380820334794,США
Клавіатура 56,Меблі,4608.95,199,MegaStock,supplier5@trade.com,+380796034115,Туреччина
Мишка 57,Авто,3592.24,57,AlphaWholesale,supplier6@trade.com,+380723396513,Туреччина
Рюкзак 58,Побутова хімія,4342.45,308,BetaDistrib,supplier7@trade.com,+380716006248,Польща
Куртка 59,Книги,166.73,309,GammaTrade,supplier8@trade.com,+380820938217,Німеччина
Холодильник 60,Побутова хімія,521.92,986,DeltaGoods,supplier9@trade.com,+380908652236,Китай
Смартфон 61,Продукти харчування,671.25,146,EpsilonMarket,supplier10@trade.com,+380652406182,Польща
Ноутбук 62,Іграшки,504.36,111,ZetaSupply,supplier11@trade.com,+380856596362,Польща
Футболка 63,Книги,254.25,834,EtaCommerce,supplier12@trade.com,+380699872406,Польща
Джинси 64,Одяг,4041.4,370,ThetaLogistics,supplier13@trade.com,+380886668904,Туреччина
Кавоварка 65,Спорт та відпочинок,1920.89,794,IotaRetail,supplier14@trade.com,+380683112911,Україна
Навушники 66,Побутова хімія,3243.46,546,KappaStore,supplier15@trade.com,+380919132737,Німеччина
Книга «67»,Побутова хімія,2443.16,495,LambdaHub,supplier16@trade.com,+380644186980,Китай
Крісло 68,Авто,1742.32,905,MuDistrib,supplier17@trade.com,+380586116144,Китай
Велосипед 69,Продукти харчування,1262.1,52,NuSupplies,supplier18@trade.com,+380532206979,Франція
Помада 70,Одяг,583.32,617,XiNetwork,supplier19@trade.com,+380966001638,США
Шампунь 71,Авто,3510.1,549,TechSupply UA 2,supplier20@trade.com,+380788633570,Китай
Чай 72,Косметика,3070.51,269,EcoGoods Ltd 2,supplier21@trade.com,+380559889261,Китай
Кросівки 73,Книги,1577.92,911,GlobalMart 2,supplier22@trade.com,+380513528495,Україна
Планшет 74,Книги,1409.82,738,ProTrade Co 2,supplier23@trade.com,+380929971814,Німеччина
Монітор 75,Книги,4569.45,811,FastDelivery 2,supplier24@trade.com,+380502216650,Німеччина
Клавіатура 76,Косметика,1847.46,646,MegaStock 2,supplier25@trade.com,+380760427643,Польща
Мишка 77,Авто,886.61,80,AlphaWholesale 2,supplier26@trade.com,+380552199659,США
Рюкзак 78,Книги,4639.33,894,BetaDistrib 2,supplier27@trade.com,+380945500034,Україна
Куртка 79,Одяг,2305.99,998,GammaTrade 2,supplier28@trade.com,+380823575860,Україна
Холодильник 80,Іграшки,2079.49,155,DeltaGoods 2,supplier29@trade.com,+380616445110,Китай
Смартфон 81,Книги,1438.63,390,EpsilonMarket 2,supplier30@trade.com,+380633121802,Туреччина
Ноутбук 82,Одяг,701.22,746,ZetaSupply 2,supplier31@trade.com,+380902140937,Туреччина
Футболка 83,Іграшки,746.82,506,EtaCommerce 2,supplier32@trade.com,+380690148601,Франція
Джинси 84,Продукти харчування,2602.73,788,ThetaLogistics 2,supplier33@trade.com,+380522112846,Україна
Кавоварка 85,Електроніка,3649.33,736,IotaRetail 2,supplier34@trade.com,+380712493577,Україна
Навушники 86,Електроніка,4681.82,244,KappaStore 2,supplier35@trade.com,+380837915176,Німеччина
Книга «87»,Одяг,2498.12,554,LambdaHub 2,supplier36@trade.com,+380986783818,США
Крісло 88,Меблі,3227.12,86,MuDistrib 2,supplier37@trade.com,+380979992880,Китай
Велосипед 89,Авто,2183.49,322,NuSupplies 2,supplier38@trade.com,+380550874078,Україна
Помада 90,Косметика,4133.94,896,XiNetwork 2,supplier39@trade.com,+380968192167,Франція
Шампунь 91,Косметика,2572.77,49,TechSupply UA 3,supplier40@trade.com,+380771593929,Китай
Чай 92,Косметика,1648.66,961,EcoGoods Ltd 3,supplier41@trade.com,+380584495002,США
Кросівки 93,Спорт та відпочинок,4993.01,395,GlobalMart 3,supplier42@trade.com,+380593874830,Україна
Планшет 94,Меблі,3506.81,851,ProTrade Co 3,supplier43@trade.com,+380704729251,Німеччина
Монітор 95,Спорт та відпочинок,4612.99,482,FastDelivery 3,supplier44@trade.com,+380529812884,Німеччина
Клавіатура 96,Меблі,1079.32,663,MegaStock 3,supplier45@trade.com,+380842976506,Польща
Мишка 97,Меблі,2664.69,894,AlphaWholesale 3,supplier46@trade.com,+380904252705,США
Рюкзак 98,Косметика,3322.01,631,BetaDistrib 3,supplier47@trade.com,+380856102592,Франція
Куртка 99,Меблі,4658.05,402,GammaTrade 3,supplier48@trade.com,+380708531027,Франція
Холодильник 100,Меблі,4234.52,977,DeltaGoods 3,supplier49@trade.com,+380760529437,Польща
Смартфон 101,Авто,2748.41,990,TechSupply UA,supplier0@trade.com,+380607368827,Німеччина
Ноутбук 102,Косметика,704.17,12,EcoGoods Ltd,supplier1@trade.com,+380835207186,Китай
Футболка 103,Одяг,1381.01,998,GlobalMart,supplier2@trade.com,+380654527617,Туреччина
Джинси 104,Книги,728.72,489,ProTrade Co,supplier3@trade.com,+380526910219,Україна
Кавоварка 105,Побутова хімія,3184.59,261,FastDelivery,supplier4@trade.com,+380820334794,США
Навушники 106,Книги,2865.38,828,MegaStock,supplier5@trade.com,+380796034115,Туреччина
Книга «107»,Косметика,4271.68,56,AlphaWholesale,supplier6@trade.com,+380723396513,Туреччина
Крісло 108,Електроніка,2650.05,416,BetaDistrib,supplier7@trade.com,+380716006248,Польща
Велосипед 109,Електроніка,4191.29,985,GammaTrade,supplier8@trade.com,+380820938217,Німеччина
Помада 110,Побутова хімія,2852.58,241,DeltaGoods,supplier9@trade.com,+380908652236,Китай
Шампунь 111,Косметика,3786.71,244,EpsilonMarket,supplier10@trade.com,+380652406182,Польща
Чай 112,Іграшки,3378.14,800,ZetaSupply,supplier11@trade.com,+380856596362,Польща
Кросівки 113,Електроніка,504.76,689,EtaCommerce,supplier12@trade.com,+380699872406,Польща
Планшет 114,Одяг,4130.86,313,ThetaLogistics,supplier13@trade.com,+380886668904,Туреччина
Монітор 115,Авто,4770.28,301,IotaRetail,supplier14@trade.com,+380683112911,Україна
Клавіатура 116,Побутова хімія,1038.86,977,KappaStore,supplier15@trade.com,+380919132737,Німеччина
Мишка 117,Електроніка,1734.14,168,LambdaHub,supplier16@trade.com,+380644186980,Китай
Рюкзак 118,Косметика,4245.82,527,MuDistrib,supplier17@trade.com,+380586116144,Китай
Куртка 119,Косметика,4735.64,686,NuSupplies,supplier18@trade.com,+380532206979,Франція
Холодильник 120,Спорт та відпочинок,3183.75,692,XiNetwork,supplier19@trade.com,+380966001638,США
Смартфон 121,Авто,1295.27,129,TechSupply UA 2,supplier20@trade.com,+380788633570,Китай
Ноутбук 122,Меблі,2774.72,53,EcoGoods Ltd 2,supplier21@trade.com,+380559889261,Китай
Футболка 123,Меблі,4711.99,40,GlobalMart 2,supplier22@trade.com,+380513528495,Україна
Джинси 124,Авто,4274.76,723,ProTrade Co 2,supplier23@trade.com,+380929971814,Німеччина
Кавоварка 125,Спорт та відпочинок,3638.32,959,FastDelivery 2,supplier24@trade.com,+380502216650,Німеччина
Навушники 126,Побутова хімія,339.68,850,MegaStock 2,supplier25@trade.com,+380760427643,Польща
Книга «127»,Книги,1349.42,987,AlphaWholesale 2,supplier26@trade.com,+380552199659,США
Крісло 128,Одяг,4557.5,250,BetaDistrib 2,supplier27@trade.com,+380945500034,Україна
Велосипед 129,Побутова хімія,3542.84,410,GammaTrade 2,supplier28@trade.com,+380823575860,Україна
Помада 130,Продукти харчування,1349.61,991,DeltaGoods 2,supplier29@trade.com,+380616445110,Китай
Шампунь 131,Побутова хімія,2200.82,401,EpsilonMarket 2,supplier30@trade.com,+380633121802,Туреччина
Чай 132,Іграшки,146.03,789,ZetaSupply 2,supplier31@trade.com,+380902140937,Туреччина
Кросівки 133,Косметика,221.44,93,EtaCommerce 2,supplier32@trade.com,+380690148601,Франція
Планшет 134,Книги,1556.27,859,ThetaLogistics 2,supplier33@trade.com,+380522112846,Україна
Монітор 135,Авто,4503.72,254,IotaRetail 2,supplier34@trade.com,+380712493577,Україна
Клавіатура 136,Іграшки,4586.04,878,KappaStore 2,supplier35@trade.com,+380837915176,Німеччина
Мишка 137,Одяг,4612.55,763,LambdaHub 2,supplier36@trade.com,+380986783818,США
Рюкзак 138,Книги,3368.76,399,MuDistrib 2,supplier37@trade.com,+380979992880,Китай
Куртка 139,Косметика,2764.81,593,NuSupplies 2,supplier38@trade.com,+380550874078,Україна
Холодильник 140,Спорт та відпочинок,4727.97,470,XiNetwork 2,supplier39@trade.com,+380968192167,Франція
Смартфон 141,Одяг,3302.26,101,TechSupply UA 3,supplier40@trade.com,+380771593929,Китай
Ноутбук 142,Одяг,4687.33,556,EcoGoods Ltd 3,supplier41@trade.com,+380584495002,США
Футболка 143,Меблі,31.33,238,GlobalMart 3,supplier42@trade.com,+380593874830,Україна
Джинси 144,Меблі,4890.39,58,ProTrade Co 3,supplier43@trade.com,+380704729251,Німеччина
Кавоварка 145,Книги,2595.31,633,FastDelivery 3,supplier44@trade.com,+380529812884,Німеччина
Навушники 146,Косметика,2375.02,671,MegaStock 3,supplier45@trade.com,+380842976506,Польща
Книга «147»,Продукти харчування,258.85,16,AlphaWholesale 3,supplier46@trade.com,+380904252705,США
Крісло 148,Меблі,2714.63,987,BetaDistrib 3,supplier47@trade.com,+380856102592,Франція
Велосипед 149,Авто,4057.98,839,GammaTrade 3,supplier48@trade.com,+380708531027,Франція
Помада 150,Продукти харчування,4716.74,568,DeltaGoods 3,supplier49@trade.com,+380760529437,Польща
Шампунь 151,Спорт та відпочинок,4127.49,922,TechSupply UA,supplier0@trade.com,+380607368827,Німеччина
Чай 152,Книги,4378.85,98,EcoGoods Ltd,supplier1@trade.com,+380835207186,Китай
Кросівки 153,Електроніка,611.2,715,GlobalMart,supplier2@trade.com,+380654527617,Туреччина
Планшет 154,Спорт та відпочинок,4338.15,1,ProTrade Co,supplier3@trade.com,+380526910219,Україна
Монітор 155,Одяг,4966.0,607,FastDelivery,supplier4@trade.com,+380820334794,США
Клавіатура 156,Іграшки,1883.42,743,MegaStock,supplier5@trade.com,+380796034115,Туреччина
Мишка 157,Спорт та відпочинок,1025.34,105,AlphaWholesale,supplier6@trade.com,+380723396513,Туреччина
Рюкзак 158,Спорт та відпочинок,355.04,68,BetaDistrib,supplier7@trade.com,+380716006248,Польща
Куртка 159,Побутова хімія,190.28,178,GammaTrade,supplier8@trade.com,+380820938217,Німеччина
Холодильник 160,Книги,4893.84,985,DeltaGoods,supplier9@trade.com,+380908652236,Китай
Смартфон 161,Побутова хімія,904.74,110,EpsilonMarket,supplier10@trade.com,+380652406182,Польща
Ноутбук 162,Меблі,1488.8,83,ZetaSupply,supplier11@trade.com,+380856596362,Польща
Футболка 163,Меблі,3463.76,295,EtaCommerce,supplier12@trade.com,+380699872406,Польща
Джинси 164,Електроніка,3227.1,697,ThetaLogistics,supplier13@trade.com,+380886668904,Туреччина
Кавоварка 165,Книги,4263.85,850,IotaRetail,supplier14@trade.com,+380683112911,Україна
Навушники 166,Авто,2570.88,50,KappaStore,supplier15@trade.com,+380919132737,Німеччина
Книга «167»,Спорт та відпочинок,3399.25,628,LambdaHub,supplier16@trade.com,+380644186980,Китай
Крісло 168,Авто,3263.89,525,MuDistrib,supplier17@trade.com,+380586116144,Китай
Велосипед 169,Авто,3543.8,288,NuSupplies,supplier18@trade.com,+380532206979,Франція
Помада 170,Авто,3767.05,217,XiNetwork,supplier19@trade.com,+380966001638,США
Шампунь 171,Книги,21.55,747,TechSupply UA 2,supplier20@trade.com,+380788633570,Китай
Чай 172,Одяг,3099.89,317,EcoGoods Ltd 2,supplier21@trade.com,+380559889261,Китай
Кросівки 173,Одяг,2992.56,834,GlobalMart 2,supplier22@trade.com,+380513528495,Україна
Планшет 174,Продукти харчування,4338.3,218,ProTrade Co 2,supplier23@trade.com,+380929971814,Німеччина
Монітор 175,Електроніка,4192.82,937,FastDelivery 2,supplier24@trade.com,+380502216650,Німеччина
Клавіатура 176,Косметика,3161.02,637,MegaStock 2,supplier25@trade.com,+380760427643,Польща
Мишка 177,Одяг,1616.86,173,AlphaWholesale 2,supplier26@trade.com,+380552199659,США
Рюкзак 178,Електроніка,3962.0,301,BetaDistrib 2,supplier27@trade.com,+380945500034,Україна
Куртка 179,Продукти харчування,2214.35,447,GammaTrade 2,supplier28@trade.com,+380823575860,Україна
Холодильник 180,Книги,4200.31,318,DeltaGoods 2,supplier29@trade.com,+380616445110,Китай
Смартфон 181,Меблі,3776.73,696,EpsilonMarket 2,supplier30@trade.com,+380633121802,Туреччина
Ноутбук 182,Електроніка,3542.45,663,ZetaSupply 2,supplier31@trade.com,+380902140937,Туреччина
Футболка 183,Побутова хімія,3263.84,959,EtaCommerce 2,supplier32@trade.com,+380690148601,Франція
Джинси 184,Косметика,4657.9,249,ThetaLogistics 2,supplier33@trade.com,+380522112846,Україна
Кавоварка 185,Іграшки,1431.32,719,IotaRetail 2,supplier34@trade.com,+380712493577,Україна
Навушники 186,Авто,480.69,492,KappaStore 2,supplier35@trade.com,+380837915176,Німеччина
Книга «187»,Одяг,708.24,584,LambdaHub 2,supplier36@trade.com,+380986783818,США
Крісло 188,Одяг,1058.38,872,MuDistrib 2,supplier37@trade.com,+380979992880,Китай
Велосипед 189,Одяг,4189.07,301,NuSupplies 2,supplier38@trade.com,+380550874078,Україна
Помада 190,Косметика,4163.07,923,XiNetwork 2,supplier39@trade.com,+380968192167,Франція
Шампунь 191,Побутова хімія,4744.06,362,TechSupply UA 3,supplier40@trade.com,+380771593929,Китай
Чай 192,Продукти харчування,499.47,118,EcoGoods Ltd 3,supplier41@trade.com,+380584495002,США
Кросівки 193,Авто,1282.35,400,GlobalMart 3,supplier42@trade.com,+380593874830,Україна
Планшет 194,Іграшки,2238.55,897,ProTrade Co 3,supplier43@trade.com,+380704729251,Німеччина
Монітор 195,Авто,3589.36,94,FastDelivery 3,supplier44@trade.com,+380529812884,Німеччина
Клавіатура 196,Меблі,4743.08,781,MegaStock 3,supplier45@trade.com,+380842976506,Польща
Мишка 197,Електроніка,3877.38,150,AlphaWholesale 3,supplier46@trade.com,+380904252705,США
Рюкзак 198,Спорт та відпочинок,2310.19,486,BetaDistrib 3,supplier47@trade.com,+380856102592,Франція
Куртка 199,Меблі,739.47,86,GammaTrade 3,supplier48@trade.com,+380708531027,Франція
Холодильник 200,Іграшки,3621.02,369,DeltaGoods 3,supplier49@trade.com,+380760529437,Польща
Смартфон 201,Косметика,861.01,98,TechSupply UA,supplier0@trade.com,+380607368827,Німеччина
Ноутбук 202,Косметика,4303.01,119,EcoGoods Ltd,supplier1@trade.com,+380835207186,Китай
Футболка 203,Спорт та відпочинок,3289.31,120,GlobalMart,supplier2@trade.com,+380654527617,Туреччина
Джинси 204,Побутова хімія,1365.3,164,ProTrade Co,supplier3@trade.com,+380526910219,Україна
Кавоварка 205,Побутова хімія,4773.21,274,FastDelivery,supplier4@trade.com,+380820334794,США
Навушники 206,Іграшки,1499.19,753,MegaStock,supplier5@trade.com,+380796034115,Туреччина
Книга «207»,Продукти харчування,3892.3,726,AlphaWholesale,supplier6@trade.com,+380723396513,Туреччина
Крісло 208,Іграшки,664.75,673,BetaDistrib,supplier7@trade.com,+380716006248,Польща
Велосипед 209,Спорт та відпочинок,2394.93,278,GammaTrade,supplier8@trade.com,+380820938217,Німеччина
Помада 210,Книги,4748.77,194,DeltaGoods,supplier9@trade.com,+380908652236,Китай
Шампунь 211,Іграшки,1112.36,499,EpsilonMarket,supplier10@trade.com,+380652406182,Польща
Чай 212,Спорт та відпочинок,2894.66,367,ZetaSupply,supplier11@trade.com,+380856596362,Польща
Кросівки 213,Меблі,4008.94,557,EtaCommerce,supplier12@trade.com,+380699872406,Польща
Планшет 214,Побутова хімія,2244.75,779,ThetaLogistics,supplier13@trade.com,+380886668904,Туреччина
Монітор 215,Спорт та відпочинок,3064.28,675,IotaRetail,supplier14@trade.com,+380683112911,Україна
Клавіатура 216,Книги,505.15,649,KappaStore,supplier15@trade.com,+380919132737,Німеччина
Мишка 217,Косметика,4297.89,877,LambdaHub,supplier16@trade.com,+380644186980,Китай
Рюкзак 218,Косметика,296.65,700,MuDistrib,supplier17@trade.com,+380586116144,Китай
Куртка 219,Одяг,1664.47,314,NuSupplies,supplier18@trade.com,+380532206979,Франція
Холодильник 220,Електроніка,1317.36,75,XiNetwork,supplier19@trade.com,+380966001638,США
Смартфон 221,Косметика,2113.72,551,TechSupply UA 2,supplier20@trade.com,+380788633570,Китай
Ноутбук 222,Авто,3401.9,963,EcoGoods Ltd 2,supplier21@trade.com,+380559889261,Китай
Футболка 223,Продукти харчування,1626.93,182,GlobalMart 2,supplier22@trade.com,+380513528495,Україна
Джинси 224,Іграшки,4962.61,222,ProTrade Co 2,supplier23@trade.com,+380929971814,Німеччина
Кавоварка 225,Авто,222.12,800,FastDelivery 2,supplier24@trade.com,+380502216650,Німеччина
Навушники 226,Авто,2328.24,5,MegaStock 2,supplier25@trade.com,+380760427643,Польща
Книга «227»,Продукти харчування,2005.69,729,AlphaWholesale 2,supplier26@trade.com,+380552199659,США
Крісло 228,Одяг,2854.83,324,BetaDistrib 2,supplier27@trade.com,+380945500034,Україна
Велосипед 229,Електроніка,3240.8,857,GammaTrade 2,supplier28@trade.com,+380823575860,Україна
Помада 230,Побутова хімія,238.06,487,DeltaGoods 2,supplier29@trade.com,+380616445110,Китай
Шампунь 231,Іграшки,1799.02,13,EpsilonMarket 2,supplier30@trade.com,+380633121802,Туреччина
Чай 232,Іграшки,1601.09,192,ZetaSupply 2,supplier31@trade.com,+380902140937,Туреччина
Кросівки 233,Електроніка,2887.76,364,EtaCommerce 2,supplier32@trade.com,+380690148601,Франція
Планшет 234,Спорт та відпочинок,2541.0,545,ThetaLogistics 2,supplier33@trade.com,+380522112846,Україна
Монітор 235,Спорт та відпочинок,2260.14,791,IotaRetail 2,supplier34@trade.com,+380712493577,Україна
Клавіатура 236,Продукти харчування,4400.76,569,KappaStore 2,supplier35@trade.com,+380837915176,Німеччина
Мишка 237,Авто,3352.53,784,LambdaHub 2,supplier36@trade.com,+380986783818,США
Рюкзак 238,Іграшки,2003.4,93,MuDistrib 2,supplier37@trade.com,+380979992880,Китай
Куртка 239,Побутова хімія,4435.69,598,NuSupplies 2,supplier38@trade.com,+380550874078,Україна
Холодильник 240,Спорт та відпочинок,83.28,908,XiNetwork 2,supplier39@trade.com,+380968192167,Франція
Смартфон 241,Спорт та відпочинок,3822.1,644,TechSupply UA 3,supplier40@trade.com,+380771593929,Китай
Ноутбук 242,Одяг,2392.2,544,EcoGoods Ltd 3,supplier41@trade.com,+380584495002,США
Футболка 243,Меблі,487.6,859,GlobalMart 3,supplier42@trade.com,+380593874830,Україна
Джинси 244,Іграшки,2358.0,250,ProTrade Co 3,supplier43@trade.com,+380704729251,Німеччина
Кавоварка 245,Електроніка,633.77,21,FastDelivery 3,supplier44@trade.com,+380529812884,Німеччина
Навушники 246,Косметика,1718.29,334,MegaStock 3,supplier45@trade.com,+380842976506,Польща
Книга «247»,Косметика,2574.58,170,AlphaWholesale 3,supplier46@trade.com,+380904252705,США
Крісло 248,Книги,2352.05,775,BetaDistrib 3,supplier47@trade.com,+380856102592,Франція
Велосипед 249,Продукти харчування,3106.65,315,GammaTrade 3,supplier48@trade.com,+380708531027,Франція
Помада 250,Продукти харчування,170.09,47,DeltaGoods 3,supplier49@trade.com,+380760529437,Польща
Шампунь 251,Іграшки,2674.77,720,TechSupply UA,supplier0@trade.com,+380607368827,Німеччина
Чай 252,Косметика,1688.34,300,EcoGoods Ltd,supplier1@trade.com,+380835207186,Китай
Кросівки 253,Електроніка,3858.06,85,GlobalMart,supplier2@trade.com,+380654527617,Туреччина
Планшет 254,Авто,3164.0,330,ProTrade Co,supplier3@trade.com,+380526910219,Україна
Монітор 255,Іграшки,2892.99,382,FastDelivery,supplier4@trade.com,+380820334794,США
Клавіатура 256,Спорт та відпочинок,2451.17,124,MegaStock,supplier5@trade.com,+380796034115,Туреччина
Мишка 257,Спорт та відпочинок,4985.05,594,AlphaWholesale,supplier6@trade.com,+380723396513,Туреччина
Рюкзак 258,Авто,4934.85,959,BetaDistrib,supplier7@trade.com,+380716006248,Польща
Куртка 259,Побутова хімія,3098.28,383,GammaTrade,supplier8@trade.com,+380820938217,Німеччина
Холодильник 260,Побутова хімія,2660.98,986,DeltaGoods,supplier9@trade.com,+380908652236,Китай
Смартфон 261,Меблі,793.22,553,EpsilonMarket,supplier10@trade.com,+380652406182,Польща
Ноутбук 262,Косметика,4919.84,13,ZetaSupply,supplier11@trade.com,+380856596362,Польща
Футболка 263,Меблі,4653.47,660,EtaCommerce,supplier12@trade.com,+380699872406,Польща
Джинси 264,Косметика,4616.24,688,ThetaLogistics,supplier13@trade.com,+380886668904,Туреччина
Кавоварка 265,Косметика,4907.53,327,IotaRetail,supplier14@trade.com,+380683112911,Україна
Навушники 266,Одяг,1815.51,934,KappaStore,supplier15@trade.com,+380919132737,Німеччина
Книга «267»,Меблі,3636.01,382,LambdaHub,supplier16@trade.com,+380644186980,Китай
Крісло 268,Косметика,655.87,276,MuDistrib,supplier17@trade.com,+380586116144,Китай
Велосипед 269,Меблі,102.03,13,NuSupplies,supplier18@trade.com,+380532206979,Франція
Помада 270,Косметика,4682.32,153,XiNetwork,supplier19@trade.com,+380966001638,США
Шампунь 271,Продукти харчування,4660.81,744,TechSupply UA 2,supplier20@trade.com,+380788633570,Китай
Чай 272,Книги,4305.09,683,EcoGoods Ltd 2,supplier21@trade.com,+380559889261,Китай
Кросівки 273,Меблі,2503.32,151,GlobalMart 2,supplier22@trade.com,+380513528495,Україна
Планшет 274,Одяг,3452.42,732,ProTrade Co 2,supplier23@trade.com,+380929971814,Німеччина
Монітор 275,Побутова хімія,3959.1,535,FastDelivery 2,supplier24@trade.com,+380502216650,Німеччина
Клавіатура 276,Іграшки,1220.7,602,MegaStock 2,supplier25@trade.com,+380760427643,Польща
Мишка 277,Спорт та відпочинок,756.15,142,AlphaWholesale 2,supplier26@trade.com,+380552199659,США
Рюкзак 278,Продукти харчування,895.67,753,BetaDistrib 2,supplier27@trade.com,+380945500034,Україна
Куртка 279,Меблі,1704.49,399,GammaTrade 2,supplier28@trade.com,+380823575860,Україна
Холодильник 280,Меблі,2056.71,869,DeltaGoods 2,supplier29@trade.com,+380616445110,Китай
